citation_key,authors,year,title,venue,doi
Alizadeh & Castor 2024,"Alizadeh, N., & Castor, F.",2024,Green AI: A Preliminary Empirical Study on Energy Consumption in DL Models Across Different Runtime Infrastructures,arXiv:2402.13640,10.48550/arXiv.2402.13640
Aquino-Britez et al. 2025,"Aquino-Britez, S., Garcia-Sanchez, P., Ortiz, A., & Aquino-Britez, D.",2025,Towards an Energy Consumption Index for Deep Learning Models: A Comparative Analysis of Architectures GPUs and Measurement Tools,Sensors,10.3390/s25030846
Bartoli et al. 2025,"Bartoli, P., Veronesi, C., Giudici, A., Siorpaes, D., Trojaniello, D., & Zappa, F.",2025,Benchmarking Energy and Latency in TinyML: A Novel Method for Resource-Constrained AI,arXiv:2505.15622,10.48550/arXiv.2505.15622
Boumendil et al. 2024,"Boumendil, A., Bechkit, W., & Benatchba, K.",2024,On-Device Deep Learning: Survey on Techniques Improving Energy Efficiency of DNNs,IEEE Transactions on Neural Networks and Learning Systems,10.1109/TNNLS.2024.3430028
Caravaca et al. 2025,"Caravaca, F., Cuevas, A., & Cuevas, R.",2025,From Prompts to Power: Measuring the Energy Footprint of LLM Inference,arXiv:2511.05597,10.48550/arXiv.2511.05597
Chang et al. 2026,"Chang, W.-S., Ohk, S.-R., & Kim, Y.-J.",2026,A PMIC-Based Component-Level Power Profiling Framework for On-Device AI Optimization,IEEE Access,10.1109/ACCESS.2026.3693837
Chung et al. 2025,"Chung, J.-W., Ma, J. J., Wu, R., Liu, J., Kweon, O. J., Xia, Y., Wu, Z., & Chowdhury, M.",2025,The ML.ENERGY Benchmark: Toward Automated Inference Energy Measurement and Optimization,arXiv:2505.06371,10.48550/arXiv.2505.06371
Chung et al. 2026,"Chung, J.-W., Wu, R., Ma, J. J., & Chowdhury, M.",2026,Where Do the Joules Go? Diagnosing Inference Energy Consumption,arXiv:2601.22076,10.48550/arXiv.2601.22076
Cordova-Cardenas et al. 2025,"Cordova-Cardenas, R., Amor, D., & Gutierrez, A.",2025,Edge AI in Practice: A Survey and Deployment Framework for Neural Networks on Embedded Systems,Electronics,10.3390/electronics14244877
Desislavov et al. 2021,"Desislavov, R., Martinez-Plumed, F., & Hernandez-Orallo, J.",2021,Compute and Energy Consumption Trends in Deep Learning Inference,arXiv:2109.05472,10.48550/arXiv.2109.05472
Diamond & Stoico 2026,"Diamond, J., & Stoico, V.",2026,What Is the Cost of Energy Monitoring? An Empirical Study on the Overhead of RAPL-Based Tools,arXiv:2604.26815,10.48550/arXiv.2604.26815
Dobler & Lemmerich 2025,"Dobler, S., & Lemmerich, F.",2025,Linearity-based neural network compression,arXiv:2506.21146,10.48550/arXiv.2506.21146
Dos Santos Ferreira et al. 2026,"Dos Santos Ferreira, E., Lawrence, N. D., & Paleyes, A.",2026,Optimising for Energy Efficiency and Performance in Machine Learning,arXiv:2601.08991,10.48550/arXiv.2601.08991
Fadel Argerich & Patino-Martinez 2024,"Fadel Argerich, M., & Patino-Martinez, M.",2024,Measuring and Improving the Energy Efficiency of Large Language Models Inference,IEEE Access,10.1109/ACCESS.2024.3409745
Fanariotis et al. 2025,"Fanariotis, A., Orphanoudakis, T., & Fotopoulos, V.",2025,Evaluating the Energy Efficiency of NPU-Accelerated Machine Learning Inference on Embedded Microcontrollers,arXiv:2509.17533,10.48550/arXiv.2509.17533
Fischer 2026,"Fischer, R.",2026,Ground-truthing AI energy consumption: validating CodeCarbon against external measurements,It - Information Technology,10.1515/itit-2025-0031
Francy & Singh 2024,"Francy, S., & Singh, R.",2024,Edge AI: Evaluation of Model Compression Techniques for Convolutional Neural Networks,arXiv:2409.02134,10.48550/arXiv.2409.02134
Giedra et al. 2026,"Giedra, H., Matuzevicius, D., Sledevic, T., Shubitidze, G., & Serackis, A.",2026,Benchmarking Large Language Model Inference on Limited-Resource Edge Systems,Electronics,10.3390/electronics15112451
Hernandez et al. 2025,"Hernandez, D. E., Chang, J. R., & Nordling, T. E. M.",2025,Knowledge Distillation: Enhancing Neural Network Compression with Integrated Gradients,arXiv:2503.13008,10.48550/arXiv.2503.13008
Husom et al. 2025,"Husom, E. J., Goknil, A., Astekin, M., Shar, L. K., Kasen, A., Sen, S., Mithassel, B. A., & Soylu, A.",2025,Sustainable LLM Inference for Edge AI: Evaluating Quantized LLMs for Energy Efficiency Output Accuracy and Inference Latency,arXiv:2504.03360,10.48550/arXiv.2504.03360
Iyer et al. 2026,"Iyer, A. C., Akshatha, N., & Suma, B.",2026,Green AI: A Comprehensive Framework for Energy- Latency- Memory- and Carbon-Efficient Deep Learning Model Optimization,IEEE Access,10.1109/ACCESS.2026.3714889
Kim et al. 2024,"Kim, J., El Halabi, M., Ji, M., & Song, H. O.",2024,LayerMerge: Neural Network Depth Compression through Layer Pruning and Merging,arXiv:2406.12837,10.48550/arXiv.2406.12837
Lahmer et al. 2022,"Lahmer, S., Khoshsirat, A., Rossi, M., & Zanella, A.",2022,Energy Consumption of Neural Networks on NVIDIA Edge Boards: an Empirical Model,arXiv:2210.01625,10.48550/arXiv.2210.01625
Lai et al. 2026,"Lai, N., Dewi, D. A., Maidin, S. S., Xiao, W., Zhao, S., & Hu, Q.",2026,A comprehensive review of lightweight deep learning models for edge computing with future directions,Discover Computing,10.1007/s10791-026-10021-3
Li et al. 2024,"Li, S., Ning, X., Wang, L., Liu, T., Shi, X., Yan, S., Dai, G., Yang, H., & Wang, Y.",2024,Evaluating Quantized Large Language Models,arXiv:2402.18158,10.48550/arXiv.2402.18158
Li Paolieri & Golubchik 2025,"Li, Z., Paolieri, M., & Golubchik, L.",2025,A Study on Inference Latency for Vision Transformers on Mobile Devices,arXiv:2510.25166,10.48550/arXiv.2510.25166
